Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Run source,Run root,Seed,Client count,Client count label,Round id,Communication round,Matthews correlation,Accuracy (%),Selected clients,Round stacked rank,Cumulative or global rank,Rank semantics,Local metrics path,Config path
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,0,1,0.44482389645822606,78.04410354745926,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/0/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,1,2,0.5021501283308087,80.0575263662512,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/1/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,2,3,0.5233331906511532,80.82454458293384,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/2/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,3,4,0.5366659048957605,81.30393096836049,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/3/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,4,5,0.5420103254163773,81.49568552253116,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/4/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,5,6,0.5286156744059349,81.01629913710451,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/5/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,6,7,0.5259258925916567,80.92042186001918,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/6/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,7,8,0.5232819075279987,80.82454458293384,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/7/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,8,9,0.5259770638545269,80.92042186001918,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/8/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,9,10,0.5286156744059349,81.01629913710451,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/9/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,10,11,0.5286156744059349,81.01629913710451,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/10/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,11,12,0.5259258925916567,80.92042186001918,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/11/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,12,13,0.5311983410233877,81.11217641418985,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/12/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,13,14,0.5417325184178179,81.49568552253116,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/13/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,14,15,0.5444111532535151,81.5915627996165,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/14/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,15,16,0.5445029137697658,81.5915627996165,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/15/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,16,17,0.5366659048957605,81.30393096836049,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/16/round_config.json
ffa,Nonlinear FFA,cola_stratified,CoLA stratified,roberta-base,RoBERTa-base,homo,Homo,20,150,nguyen repo,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count,0,3,3,17,18,0.5421480530675332,81.49568552253116,"0, 1, 2",4,4,ffa_global_B,,/homes/neumann/nguyen/fedlora/FederatedLLM/epoch_round_tuning_cola_client_count/tuning-ffa-cola_stratified-roberta-base-homo-e20-r150/seed0/3/17/round_config.json
