Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Round,Oracle epochs,Oracle accuracy,Smoothed epochs,Smoothed accuracy,Oracle gain over current epoch,Meaningful switch,Switch threshold,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,5,26.351499449485623,5,26.351499449485623,0.0,False,0.5,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,5,27.477805924216003,5,27.477805924216003,0.0,False,0.5,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,5,27.33749721857885,5,27.33749721857885,0.0,False,0.5,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,4,5,28.877256453171864,5,28.877256453171864,0.0,False,0.5,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,3,27.673606481826308,3,27.673606481826308,0.7885874089208045,True,0.5,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,6,3,28.99100474013072,3,28.99100474013072,0.0,False,0.5,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,7,2,27.520151217823813,3,27.484371470894807,0.03577974692900554,False,0.5,21
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,8,2,27.230227440256233,2,27.230227440256233,1.1974797378005384,True,0.5,16
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,9,5,29.04854503416771,5,29.04854503416771,0.6672525255183857,True,0.5,45
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,10,2,27.897415958980826,2,27.897415958980826,1.1138135432027063,True,0.5,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,5,24.30039362524154,5,24.30039362524154,0.0,False,0.5,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,5,28.9713980350406,5,28.9713980350406,0.0,False,0.5,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,2,29.901496671286427,2,29.901496671286427,2.9062058021739112,True,0.5,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,4,5,29.816646030836875,5,29.816646030836875,1.0663660548524767,True,0.5,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,5,30.348877311446838,5,30.348877311446838,0.0,False,0.5,25
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,6,5,29.726256956474035,5,29.726256956474035,0.0,False,0.5,30
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,7,5,30.873034360682343,5,30.873034360682343,0.0,False,0.5,35
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,8,5,29.476836870750837,5,29.476836870750837,0.0,False,0.5,40
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,9,2,30.310144399754986,2,30.310144399754986,1.3501191794963034,True,0.5,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,10,2,29.54508980050151,2,29.54508980050151,0.0,False,0.5,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,5,25.121678527954604,5,25.121678527954604,0.0,False,0.5,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,5,26.835100796820736,5,26.835100796820736,0.0,False,0.5,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,3,27.601900551512376,3,27.601900551512376,0.7006075286859854,True,0.5,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,4,5,28.212133550621747,5,28.212133550621747,2.9434782007091016,True,0.5,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,3,29.619329742120637,5,29.458925870359533,0.1604038717611047,False,0.5,25
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,6,3,27.92600044044117,3,27.92600044044117,0.5689669513087523,True,0.5,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,7,5,29.01219332116927,5,29.01219332116927,0.8486578428681995,True,0.5,35
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,8,3,28.93448541122181,3,28.93448541122181,1.255370040746108,True,0.5,24
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,9,5,28.973001141844733,3,28.606487071755858,0.3665140700888756,False,0.5,27
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,10,5,28.898665834128945,5,28.898665834128945,0.9542614997375019,True,0.5,50
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,5,25.99927769828887,5,25.99927769828887,0.0,False,0.5,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,5,29.112118054819515,5,29.112118054819515,0.0,False,0.5,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,3,28.665720056896998,3,28.665720056896998,1.2606058987383406,True,0.5,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,4,2,29.31128088622011,2,29.31128088622011,0.9654519913050308,True,0.5,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,3,28.955224083372922,3,28.955224083372922,0.708667230467416,True,0.5,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,6,5,29.674882364489875,3,29.23599899447004,0.438883370019834,False,0.5,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,7,3,30.616932937943336,3,30.616932937943336,0.0,False,0.5,21
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,8,5,30.705571806875405,3,30.318378997843563,0.3871928090318413,False,0.5,24
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,9,5,30.968776637827954,5,30.968776637827954,1.1833624271462178,True,0.5,45
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,10,3,31.264767281439244,3,31.264767281439244,2.807841978285442,True,0.5,30
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,5,30.85645266834172,5,30.85645266834172,0.0,False,0.5,5
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,5,33.11990978473841,5,33.11990978473841,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,5,32.64883936141125,5,32.64883936141125,0.0,False,0.5,15
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,4,2,33.03217713179109,2,33.03217713179109,1.072485642678906,True,0.5,8
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,2,32.427153109769165,2,32.427153109769165,0.0,False,0.5,10
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,6,1,33.19234141611857,1,33.19234141611857,1.0816217508829027,True,0.5,6
