Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Smoothed schedule,Meaningful switches,First smoothed epochs,Final smoothed epochs,Max oracle accuracy,Max smoothed accuracy,Follow-up experiment suggestion
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,r1-2: e2; r3-4: e3; r5-10: e2,2,2,2,29.95713368479402,29.95713368479402,Test a staged schedule; switches may reflect round-specific instability.
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,r1-4: e5; r5-7: e3; r8: e2; r9: e5; r10: e2,4,5,2,29.04854503416771,29.04854503416771,Test high-local-epoch warmup followed by lower local epochs.
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,r1: e5; r2-3: e3; r4-8: e2; r9-10: e1,3,5,1,31.060014077748882,31.060014077748882,Test high-local-epoch warmup followed by lower local epochs.
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,r1: e2; r2-3: e3; r4: e5; r5-10: e2,3,2,2,31.028687165879365,31.028687165879365,Test a staged schedule; switches may reflect round-specific instability.
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,r1-2: e5; r3: e2; r4-8: e5; r9-10: e2,3,5,2,30.873034360682343,30.873034360682343,Test high-local-epoch warmup followed by lower local epochs.
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,r1: e5; r2-5: e3; r6: e5; r7-10: e2,3,5,2,30.217557457310612,30.217557457310612,Test high-local-epoch warmup followed by lower local epochs.
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,r1: e5; r2: e3; r3-4: e5; r5: e2; r6-7: e3; r8-9: e2; r10: e1,6,5,1,29.105461981714768,29.105461981714768,Test high-local-epoch warmup followed by lower local epochs.
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,r1-2: e5; r3: e3; r4-5: e5; r6: e3; r7: e5; r8-9: e3; r10: e5,6,5,5,29.619329742120637,29.458925870359533,Test a staged schedule; switches may reflect round-specific instability.
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,r1: e5; r2-3: e3; r4: e2; r5-6: e3; r7-10: e1,4,5,1,30.096827805285802,30.096827805285802,Test high-local-epoch warmup followed by lower local epochs.
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,r1-5: e5; r6: e2; r7: e5; r8-9: e3; r10: e5,4,5,5,29.614578378920374,29.614578378920374,Test a staged schedule; switches may reflect round-specific instability.
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,r1-2: e5; r3: e3; r4: e2; r5-8: e3; r9: e5; r10: e3,5,5,3,31.264767281439244,31.264767281439244,Test high-local-epoch warmup followed by lower local epochs.
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,r1: e5; r2-3: e3; r4-8: e2; r9: e3; r10: e5,4,5,5,29.711140580548346,29.711140580548346,Test a staged schedule; switches may reflect round-specific instability.
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,r1-2: e3; r3-10: e2,1,3,2,46.216901483508074,46.216901483508074,Test high-local-epoch warmup followed by lower local epochs.
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,r1-3: e5; r4-5: e2; r6-10: e1,2,5,1,33.63478226383233,33.63478226383233,Test high-local-epoch warmup followed by lower local epochs.
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,r1-2: e3; r3-10: e2,1,3,2,44.126889822266726,44.126889822266726,Test high-local-epoch warmup followed by lower local epochs.
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,r1: e1; r2-10: e2,1,1,2,45.100873212020446,45.100873212020446,Test lower-epoch warmup followed by higher local epochs.
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,r1-2: e2; r3-4: e1; r5-7: e2; r8-9: e1; r10: e2,4,2,2,31.54860451750488,31.50253404322449,Test a staged schedule; switches may reflect round-specific instability.
