Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Plateau round,Plateau accuracy,Best round,Best accuracy,Best compute cost,Final round,Final accuracy,Post-peak degradation,Worst later degradation,Later rounds hurt > tolerance,Max round observed,Seed count,Seeds
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,8,26.333334942185093,10,27.235844016178547,10,10,27.235844016178547,0.0,0.0,False,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,7,27.520151217823813,9,28.381292508649324,18,10,27.897415958980826,0.4838765496684978,0.4838765496684978,False,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,4,28.523939458691792,6,28.99100474013072,18,10,27.40488571251973,1.5861190276109909,2.9582570376750255,True,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,5,4,28.877256453171864,9,29.04854503416771,45,10,26.78360241577812,2.2649426183895898,2.2649426183895898,True,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,1,6,29.293624081751457,6,29.293624081751457,6,10,28.810735801387526,0.4828882803639303,1.6358495809651146,True,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,29.901496671286427,9,30.310144399754986,18,10,29.54508980050151,0.7650545992534745,0.7650545992534745,False,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,4,29.321431473859043,7,29.560024286637205,21,10,29.449209296555324,0.11081499008188089,0.48645148520597914,False,10,1,0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,5,5,30.348877311446838,7,30.873034360682343,35,10,29.18985189165965,1.683182469022693,1.9130091404236609,True,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,1,6,25.592671724160294,9,26.404860293623685,9,10,26.28020641367587,0.12465387994781452,0.12465387994781452,False,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,2,5,27.69211895332363,9,28.423145051655762,18,10,25.922830166480527,2.5003148851752357,2.5003148851752357,True,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,5,29.619329742120637,5,29.619329742120637,15,10,27.944404334391443,1.6749254077291944,1.6933293016794657,True,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,5,29.458925870359533,5,29.458925870359533,25,10,28.898665834128945,0.5602600362305878,2.1018923812271133,True,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,6,27.633404896184246,8,28.54904089489799,8,10,27.679297499751975,0.8697433951460134,0.8697433951460134,False,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,4,29.31128088622011,10,29.76382677072457,20,10,29.76382677072457,0.0,0.0,False,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,7,30.616932937943336,10,31.264767281439244,30,10,31.264767281439244,0.0,0.0,False,10,1,0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,5,8,30.705571806875405,9,30.968776637827954,45,10,28.456925303153803,2.5118513346741516,2.5118513346741516,True,10,1,0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,6,33.19234141611857,10,33.63478226383233,10,10,33.63478226383233,0.0,0.0,False,10,1,0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,2,4,33.03217713179109,4,33.03217713179109,8,10,31.36571298652393,1.666464145267156,1.761006364200341,True,10,1,0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,2,32.19803453394798,4,32.489140575088385,12,10,31.0101526547609,1.4789879203274836,1.5619881473755726,True,10,1,0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,2,33.11990978473841,7,33.559651489261775,35,10,31.511011872693,2.0486396165687744,2.0486396165687744,True,10,1,0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,2,30.86875479407592,4,31.50253404322449,4,10,29.84947558481743,1.6530584584070596,1.7675057627256976,True,10,1,0
