Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Accuracy,Previous round,Previous accuracy,Marginal accuracy gain,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,2,21.28930397783074,1,19.273111073727193,2.016192904103548,2
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,3,22.01067358273452,2,21.28930397783074,0.7213696049037779,3
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,4,21.23329732480398,3,22.01067358273452,-0.7773762579305377,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,5,23.949153590490535,4,21.23329732480398,2.715856265686554,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,6,22.91282984438322,5,23.949153590490535,-1.036323746107314,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,7,25.603691728597553,6,22.91282984438322,2.690861884214332,7
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,8,26.333334942185093,7,25.603691728597553,0.7296432135875399,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,9,26.584934364371023,8,26.333334942185093,0.25159942218592946,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,27.235844016178547,9,26.584934364371023,0.6509096518075239,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,2,23.65710080623618,1,21.056383084070806,2.600717722165374,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,3,26.80644668629974,2,23.65710080623618,3.14934588006356,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,4,26.51456588777064,3,26.80644668629974,-0.29188079852909965,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,5,26.86173746535535,4,26.51456588777064,0.3471715775847102,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,6,26.738885297636557,5,26.86173746535535,-0.12285216771879348,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,7,27.520151217823813,6,26.738885297636557,0.7812659201872556,14
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,8,27.230227440256233,7,27.520151217823813,-0.28992377756758003,16
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,9,28.381292508649324,8,27.230227440256233,1.1510650683930912,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,27.897415958980826,9,28.381292508649324,-0.4838765496684978,20
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,2,26.13990019014359,1,23.82513694558179,2.3147632445617994,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,3,25.9001561963584,2,26.13990019014359,-0.23974399378518996,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,4,28.523939458691792,3,25.9001561963584,2.6237832623333937,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,5,27.673606481826308,4,28.523939458691792,-0.8503329768654844,15
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,6,28.99100474013072,5,27.673606481826308,1.3173982583044115,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,7,27.484371470894807,6,28.99100474013072,-1.5066332692359126,21
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,8,26.032747702455694,7,27.484371470894807,-1.451623768439113,24
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,9,28.5678930566718,8,26.032747702455694,2.5351453542161053,27
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,27.40488571251973,9,28.5678930566718,-1.1630073441520707,30
