Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Selected epochs,Selected round,Selected accuracy,Selected compute cost,Selected post-peak degradation,Best epochs,Best round,Best accuracy,Best compute cost,Best post-peak degradation,Accuracy gap to best,Communication-efficient epochs,Communication-efficient round,Communication-efficient accuracy,Communication-efficient compute cost,Communication-efficient gap to best,Selection matches tuning_selected,Near-best tolerance
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,4,28.523939458691792,12,1.5861190276109909,5,9,29.04854503416771,45,2.2649426183895898,0.5246055754759169,3,4,28.523939458691792,12,0.5246055754759169,True,1.0
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,2,3,29.901496671286427,6,0.7650545992534745,5,7,30.873034360682343,35,1.683182469022693,0.971537689395916,2,3,29.901496671286427,6,0.971537689395916,True,1.0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,5,29.619329742120637,15,1.6749254077291944,3,5,29.619329742120637,15,1.6749254077291944,0.0,3,5,29.619329742120637,15,0.0,True,1.0
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,7,30.616932937943336,21,0.0,3,10,31.264767281439244,30,0.0,0.6478343434959086,3,7,30.616932937943336,21,0.6478343434959086,True,1.0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,1,6,33.19234141611857,6,0.0,1,10,33.63478226383233,10,0.0,0.4424408477137547,5,2,33.11990978473841,10,0.514872479093917,True,1.0
ffa,Nonlinear FFA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,1,30.69317878695398,2,0.15634489819196062,5,4,31.54860451750488,20,3.744645497086701,0.8554257305509019,2,1,30.69317878695398,2,0.8554257305509019,True,1.0
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,3,32.460055269357504,6,1.7914631165352013,5,3,33.36740023146743,15,3.0291520445765023,0.9073449621099243,2,3,32.460055269357504,6,0.9073449621099243,True,1.0
ffa,Nonlinear FFA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,2,31.80994536900661,4,1.357066887442972,5,1,32.349736848160674,5,3.7685710847360703,0.539791479154065,5,1,32.349736848160674,5,0.0,True,1.0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,1,29.38020421842083,2,1.122725416960737,2,5,29.95713368479402,10,1.122725416960737,0.5769294663731905,2,1,29.38020421842083,2,0.5769294663731905,True,1.0
flora,Linear FLoRA,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,2,31.028687165879365,6,2.7836386037443717,3,2,31.028687165879365,6,2.7836386037443717,0.0,3,2,31.028687165879365,6,0.0,True,1.0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,5,1,28.335098379205913,5,3.252013279019824,2,8,29.105461981714768,16,2.2448178385394755,0.7703636025088549,5,1,28.335098379205913,5,0.7703636025088549,True,1.0
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,1,5,28.632243921249316,5,0.6658157027305691,5,4,29.614578378920374,20,0.9754055613199242,0.9823344576710582,3,2,28.846910496548638,6,0.767667882371736,True,1.0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,1,46.216901483508074,3,7.884269102262564,3,1,46.216901483508074,3,7.884269102262564,0.0,3,1,46.216901483508074,3,0.0,True,1.0
flora,Linear FLoRA,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,1,45.100873212020446,1,9.518425833372135,1,1,45.100873212020446,1,9.518425833372135,0.0,1,1,45.100873212020446,1,0.0,True,1.0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,45.736471619380225,3,9.91516369243147,3,1,45.736471619380225,3,9.91516369243147,0.0,3,1,45.736471619380225,3,0.0,True,1.0
flora,Linear FLoRA,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,1,46.735378514127305,1,11.397227177786924,1,1,46.735378514127305,1,11.397227177786924,0.0,1,1,46.735378514127305,1,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,4,30.100207433685593,8,1.6847042147191011,3,3,31.060014077748882,9,2.4722184252377915,0.9598066440632884,3,3,31.060014077748882,9,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly,Dolly,tinyllama,TinyLlama,homo,Homo,3,3,30.217557457310612,9,1.6650239948411532,3,3,30.217557457310612,9,1.6650239948411532,0.0,3,3,30.217557457310612,9,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,2,30.096827805285802,6,0.3893984236333452,3,2,30.096827805285802,6,0.3893984236333452,0.0,3,2,30.096827805285802,6,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,2,6,29.711140580548346,12,2.4619983836200134,2,6,29.711140580548346,12,2.4619983836200134,0.0,2,6,29.711140580548346,12,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,1,44.126889822266726,3,6.041061947913718,3,1,44.126889822266726,3,6.041061947913718,0.0,3,1,44.126889822266726,3,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,1,42.01573477140562,2,3.7769798902288656,2,1,42.01573477140562,2,3.7769798902288656,0.0,2,1,42.01573477140562,2,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,1,45.377494561705326,3,8.487456093613567,3,1,45.377494561705326,3,8.487456093613567,0.0,3,1,45.377494561705326,3,0.0,True,1.0
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,3,42.88281806146077,6,2.1610052097865378,2,3,42.88281806146077,6,2.1610052097865378,0.0,2,3,42.88281806146077,6,0.0,True,1.0
