Dataset label,Setting,Config rounds,Configured budget,Seed count,Best round,Best accuracy,First near-best round,First near-best accuracy,Final round,Final accuracy,Post-peak degradation
Dolly,Heter,50,r50,1,39,29.570951694583147,24,29.47079399213692,50,27.45385818607076,2.1170935085123865
Dolly,Heter,100,r100,1,42,31.218401154788527,42,31.218401154788527,100,28.946128627194934,2.272272527593593
Dolly,Homo,50,r50,1,39,33.09087009506497,39,33.09087009506497,50,29.4796880122512,3.611182082813773
Dolly,Homo,100,r100,1,32,32.42862963973225,32,32.42862963973225,100,26.932606152208848,5.496023487523402
Dolly stratified,Heter,50,r50,1,29,29.078744933284113,9,28.716610944547572,50,28.813028955993513,0.2657159772906006
Dolly stratified,Heter,100,r100,1,31,30.931737357169187,31,30.931737357169187,100,30.164494744360532,0.7672426128086549
Dolly stratified,Homo,50,r50,1,39,30.64172761012463,22,29.9971555187453,50,28.992167682149738,1.6495599279748916
Dolly stratified,Homo,100,r100,1,77,31.502021914958334,77,31.502021914958334,100,27.333761070186092,4.168260844772242
Wizard,Heter,50,r50,1,6,34.1621839698249,6,34.1621839698249,50,32.09092028339832,2.071263686426583
Wizard stratified,Heter,50,r50,1,9,33.37603290179484,6,33.09257040679389,50,30.210027731869644,3.1660051699251923
Wizard stratified,Homo,50,r50,1,3,31.625251004324788,2,30.98651730077761,50,30.073818372807143,1.5514326315176454
