Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Run key,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,1,17.861361529341103,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,2,20.059271354344972,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,3,22.37805545569754,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,4,24.43017506142771,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,5,25.207250593460046,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,6,25.90729276291291,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,7,25.858151515946755,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,8,25.89506664950763,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,9,27.405996394396926,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,10,25.872668355716794,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,11,27.84485442354719,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,12,28.196493430191143,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,13,24.85774523800132,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,14,27.757011349248973,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,15,27.281186741392517,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,16,27.85541148767749,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,17,26.82447245099348,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,18,27.70008713848992,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,19,26.59071976383021,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,20,28.540392947984177,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,21,25.74277776990143,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,22,26.652763143833596,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,23,28.11490396552324,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,24,29.47079399213692,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,25,27.225182662174046,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,26,28.01540575950841,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,27,27.20632848609362,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,50,0,28,28.954683958051437,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,/homes/neumann/trieu.vy.tran/FederatedLLM/epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50,epoch_round_tuning_ffa_high_rounds/tuning-ffa-dolly-tinyllama-heter-e1-r50/seed0/10/log.txt,50,True,score log,Complete
