Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Client count,Client count label,Round,Round id,Segment,Accuracy source,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Manifest rows,Communication round
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,1,0,1,round_config,round config,Committed partial,30.696693661343176,0.0,1,4,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,2,1,1,round_config,round config,Committed partial,27.837748188354933,0.0,1,4,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,3,2,1,round_config,round config,Committed partial,27.57769276502222,0.0,1,4,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,4,3,1,round_config,round config,Committed partial,28.54191140034274,0.0,1,4,4
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,5,4,1,round_config,round config,Committed partial,28.01441475065647,0.0,1,4,5
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,6,5,1,round_config,round config,Committed partial,28.051878247240076,0.0,1,4,6
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,7,6,1,round_config,round config,Committed partial,26.81819135480034,0.0,1,4,7
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,8,7,1,round_config,round config,Committed partial,26.945647984860184,0.0,1,4,8
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,9,8,1,round_config,round config,Committed partial,26.58571374413953,0.0,1,4,9
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,10,9,1,round_config,round config,Committed partial,26.32049758332961,0.0,1,4,10
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,11,10,2,round_config,round config,Committed partial,27.60447307648964,0.0,1,4,11
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,12,11,2,round_config,round config,Committed partial,27.40014419730536,0.0,1,4,12
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,13,12,2,round_config,round config,Committed partial,26.294875928821543,0.0,1,4,13
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,14,13,2,round_config,round config,Committed partial,25.709900180829496,0.0,1,4,14
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,15,14,2,round_config,round config,Committed partial,26.585759678005584,0.0,1,4,15
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,16,15,2,round_config,round config,Committed partial,25.167924153554637,0.0,1,4,16
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,17,16,2,round_config,round config,Committed partial,24.866928507300887,0.0,1,4,17
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,18,17,2,round_config,round config,Committed partial,23.347180861747418,0.0,1,4,18
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,19,18,2,round_config,round config,Committed partial,23.27942161521254,0.0,1,4,19
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,20,19,2,round_config,round config,Committed partial,23.692012983922055,0.0,1,4,20
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,1,0,1,round_config,round config,Committed partial,27.885945601746638,0.0,1,10,1
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,2,1,1,round_config,round config,Committed partial,28.45594551403491,0.0,1,10,2
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,3,2,1,round_config,round config,Committed partial,29.83680812464919,0.0,1,10,3
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,4,3,1,round_config,round config,Committed partial,27.705581920319844,0.0,1,10,4
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,5,4,1,round_config,round config,Committed partial,29.01666299099295,0.0,1,10,5
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,6,5,1,round_config,round config,Committed partial,28.35526962569212,0.0,1,10,6
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,7,6,1,round_config,round config,Committed partial,28.169710800875507,0.0,1,10,7
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,8,7,1,round_config,round config,Committed partial,29.592927995164093,0.0,1,10,8
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,9,8,1,round_config,round config,Committed partial,30.00833872105971,0.0,1,10,9
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,10,9,1,round_config,round config,Committed partial,30.8855251632871,0.0,1,10,10
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,11,10,2,round_config,round config,Committed partial,31.525850829924597,0.0,1,10,11
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,12,11,2,round_config,round config,Committed partial,29.880067031144147,0.0,1,10,12
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,13,12,2,round_config,round config,Committed partial,29.804733098647045,0.0,1,10,13
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,14,13,2,round_config,round config,Committed partial,30.896372858394137,0.0,1,10,14
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,15,14,2,round_config,round config,Committed partial,31.461254936254175,0.0,1,10,15
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,16,15,2,round_config,round config,Committed partial,31.71741594233187,0.0,1,10,16
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,17,16,2,round_config,round config,Committed partial,32.87034137420887,0.0,1,10,17
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,18,17,2,round_config,round config,Committed partial,31.528596410788325,0.0,1,10,18
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,19,18,2,round_config,round config,Committed partial,31.79144046334984,0.0,1,10,19
ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,3,3,20,19,2,round_config,round config,Committed partial,32.418147286416136,0.0,1,10,20
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,1,0,1,round_config,round config,Committed partial,27.439423212896045,0.0,1,5,1
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,2,1,1,round_config,round config,Committed partial,28.930923731821974,0.0,1,5,2
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,3,2,1,round_config,round config,Committed partial,27.440570261892788,0.0,1,5,3
flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,10,10,4,3,1,round_config,round config,Committed partial,27.551439340539364,0.0,1,5,4
