Manifest row,Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Client count,Client count label,Run dir,Score path,Stdout path,Observed rounds,Complete run,Result source,Run status,Committed rounds,Latest segment
4,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r04_37681_4.out,20,False,round config,Committed partial,20,2
10,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s002_r10_37687_10.out,20,False,round config,Committed partial,20,2
5,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/10log.txt,logs/tiny_instr_e3r50seg_s001_r05_37658_5.out,10,False,round config,Committed partial,10,1
11,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/10/log.txt,logs/tiny_instr_e3r50seg_s002_r11_37688_11.out,20,False,round config,Committed partial,20,2
6,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-heter-e3-r50/seed0/20log.txt,logs/tiny_instr_e3r50seg_s001_r06_37659_6.out,10,False,round config,Committed partial,10,1
12,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,heter,Heter,3,50,0,20,20,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-heter-e3-r50/seed0/20/log.txt,logs/tiny_instr_e3r50seg_s002_r12_37689_12.out,10,False,round config,Committed partial,10,1
1,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-homo-e3-r50/seed0/3log.txt,logs/tiny_instr_e3r50seg_s002_r01_37678_1.out,20,False,round config,Committed partial,20,2
7,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,3,3,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50/seed0/3/log.txt,logs/tiny_instr_e3r50seg_s001_r07_37660_7.out,10,False,round config,Committed partial,10,1
2,flora,Linear FLoRA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-flora-dolly_stratified-tinyllama-homo-e3-r50/seed0/10log.txt,logs/tiny_instr_e3r50seg_s002_r02_37679_2.out,20,False,round config,Committed partial,20,2
8,ffa,Nonlinear FFA,dolly_stratified,Dolly stratified,tinyllama,TinyLlama,homo,Homo,3,50,0,10,10,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50,epoch_round_tuning_instruction_client_count_e3r50_segmented/tuning-ffa-dolly_stratified-tinyllama-homo-e3-r50/seed0/10/log.txt,logs/tiny_instr_e3r50seg_s001_r08_37661_8.out,10,False,round config,Committed partial,10,1
