Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Plateau round,Plateau accuracy,Best round,Best accuracy,Best compute cost,Final round,Final accuracy,Post-peak degradation,Worst later degradation,Later rounds hurt > tolerance,Max round observed,Seed count,Seeds
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,4,56.317689530685925,4,56.317689530685925,4,10,51.985559566786996,4.332129963898929,5.415162454873652,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,4,57.400722021660656,5,58.12274368231047,10,10,54.51263537906137,3.610108303249099,3.971119133574007,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,2,56.317689530685925,2,56.317689530685925,6,10,55.5956678700361,0.7220216606498226,1.0830324909747375,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,2,56.317689530685925,2,56.317689530685925,10,10,54.87364620938629,1.4440433212996382,1.805054151624553,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,1,58.48375451263538,1,58.48375451263538,8,10,56.678700361010826,1.805054151624553,1.805054151624553,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,4,56.317689530685925,4,56.317689530685925,4,10,51.985559566786996,4.332129963898929,5.776173285198567,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,5,58.48375451263538,5,58.48375451263538,10,10,54.51263537906137,3.971119133574007,4.332129963898915,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,2,55.5956678700361,2,55.5956678700361,6,10,54.151624548736464,1.4440433212996382,1.4440433212996382,True,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,6,55.95667870036101,8,56.678700361010826,40,10,56.317689530685925,0.36101083032490067,0.36101083032490067,False,10,1,0
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,1,57.761732851985556,2,58.48375451263538,16,10,56.678700361010826,1.805054151624553,2.1660649819494537,True,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,4,56.678700361010826,4,56.678700361010826,4,10,54.87364620938629,1.8050541516245389,4.6931407942238295,True,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,4,58.12274368231047,4,58.12274368231047,8,10,55.23465703971119,2.8880866425992835,4.332129963898922,True,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,2,56.678700361010826,2,56.678700361010826,6,10,53.068592057761734,3.610108303249092,3.610108303249092,True,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,4,57.761732851985556,7,58.48375451263538,35,10,58.12274368231047,0.36101083032490777,1.4440433212996382,True,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,60.64981949458483,10,60.64981949458483,80,10,60.64981949458483,0.0,0.0,False,10,1,0
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,4,54.51263537906137,4,54.51263537906137,4,10,53.79061371841155,0.7220216606498226,3.2490974729241913,True,10,1,0
