Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Final accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost,Epoch/round option,Option type,Baseline e8/r10 final accuracy,Delta vs e8/r10 (pp),New option,Observed seed-0 improvement,Centralized reference accuracy,Gap below centralized reference (pp)
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,score log,Complete,55.95667870036101,0.0,1,0,80,80,e1/r80,New option,60.64981949458483,-4.693140794223822,True,False,72.0,16.04332129963899
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,score log,Complete,57.400722021660656,0.0,1,0,40,80,e2/r40,New option,60.64981949458483,-3.249097472924177,True,False,72.0,14.599277978339344
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,20,score log,Complete,60.64981949458483,0.0,1,0,20,80,e4/r20,New option,60.64981949458483,0.0,True,False,72.0,11.350180505415167
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,score log,Complete,60.64981949458483,0.0,1,0,10,80,e8/r10,Existing baseline,60.64981949458483,0.0,False,False,72.0,11.350180505415167
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,score log,Complete,55.95667870036101,0.0,1,0,80,80,e1/r80,New option,56.678700361010826,-0.7220216606498155,True,False,72.0,16.04332129963899
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,score log,Complete,57.03971119133574,0.0,1,0,40,80,e2/r40,New option,56.678700361010826,0.3610108303249149,True,True,72.0,14.96028880866426
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,20,score log,Complete,57.761732851985556,0.0,1,0,20,80,e4/r20,New option,56.678700361010826,1.0830324909747304,True,True,72.0,14.238267148014444
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,score log,Complete,56.678700361010826,0.0,1,0,10,80,e8/r10,Existing baseline,56.678700361010826,0.0,False,False,72.0,15.321299638989174
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,score log,Complete,54.87364620938629,0.0,1,0,80,80,e1/r80,New option,61.371841155234655,-6.498194945848368,True,False,72.0,17.126353790613713
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,score log,Complete,58.12274368231047,0.0,1,0,40,80,e2/r40,New option,61.371841155234655,-3.249097472924184,True,False,72.0,13.877256317689529
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,20,score log,Complete,59.56678700361011,0.0,1,0,20,80,e4/r20,New option,61.371841155234655,-1.805054151624546,True,False,72.0,12.43321299638989
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,score log,Complete,61.371841155234655,0.0,1,0,10,80,e8/r10,Existing baseline,61.371841155234655,0.0,False,False,72.0,10.628158844765345
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,80,score log,Complete,56.317689530685925,0.0,1,0,80,80,e1/r80,New option,61.73285198555957,-5.415162454873645,True,False,72.0,15.682310469314075
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,40,score log,Complete,57.761732851985556,0.0,1,0,40,80,e2/r40,New option,61.73285198555957,-3.971119133574014,True,False,72.0,14.238267148014444
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,4,20,score log,Complete,60.28880866425993,0.0,1,0,20,80,e4/r20,New option,61.73285198555957,-1.4440433212996382,True,False,72.0,11.711191335740068
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,10,score log,Complete,61.73285198555957,0.0,1,0,10,80,e8/r10,Existing baseline,61.73285198555957,0.0,False,False,72.0,10.26714801444043
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,80,score log,Complete,53.42960288808665,0.0,1,0,80,80,e1/r80,New option,56.678700361010826,-3.249097472924177,True,False,72.0,18.57039711191335
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,40,score log,Complete,56.678700361010826,0.0,1,0,40,80,e2/r40,New option,56.678700361010826,0.0,True,False,72.0,15.321299638989174
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,4,20,score log,Complete,55.95667870036101,0.0,1,0,20,80,e4/r20,New option,56.678700361010826,-0.7220216606498155,True,False,72.0,16.04332129963899
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,10,score log,Complete,56.678700361010826,0.0,1,0,10,80,e8/r10,Existing baseline,56.678700361010826,0.0,False,False,72.0,15.321299638989174
