Method,Setting,Epoch/round option,Option type,Peak round,Peak compute cost,Peak accuracy,Baseline e8/r10 peak accuracy,Peak delta vs e8/r10 peak (pp)
Linear FLoRA,Heter,e1/r80,New option,15,15,58.12274368231047,60.64981949458483,-2.5270758122743615
Linear FLoRA,Heter,e2/r40,New option,4,8,58.12274368231047,60.64981949458483,-2.5270758122743615
Linear FLoRA,Heter,e4/r20,New option,15,60,62.093862815884485,60.64981949458483,1.4440433212996524
Linear FLoRA,Heter,e8/r10,Existing baseline,10,80,60.64981949458483,60.64981949458483,0.0
Nonlinear FFA,Heter,e1/r80,New option,68,68,57.03971119133574,58.48375451263538,-1.4440433212996382
Nonlinear FFA,Heter,e2/r40,New option,5,10,58.12274368231047,58.48375451263538,-0.36101083032490777
Nonlinear FFA,Heter,e4/r20,New option,20,80,57.761732851985556,58.48375451263538,-0.7220216606498226
Nonlinear FFA,Heter,e8/r10,Existing baseline,1,8,58.48375451263538,58.48375451263538,0.0
Nonlinear FLoRA Cumulative,Heter,e1/r80,New option,26,26,56.678700361010826,61.371841155234655,-4.6931407942238295
Nonlinear FLoRA Cumulative,Heter,e2/r40,New option,38,76,58.12274368231047,61.371841155234655,-3.249097472924184
Nonlinear FLoRA Cumulative,Heter,e4/r20,New option,20,80,59.56678700361011,61.371841155234655,-1.805054151624546
Nonlinear FLoRA Cumulative,Heter,e8/r10,Existing baseline,7,56,61.371841155234655,61.371841155234655,0.0
Linear FLoRA,Homo,e1/r80,New option,76,76,58.12274368231047,61.73285198555957,-3.610108303249099
Linear FLoRA,Homo,e2/r40,New option,25,50,58.844765342960294,61.73285198555957,-2.8880866425992764
Linear FLoRA,Homo,e4/r20,New option,14,56,61.371841155234655,61.73285198555957,-0.3610108303249149
Linear FLoRA,Homo,e8/r10,Existing baseline,8,64,61.73285198555957,61.73285198555957,0.0
Nonlinear FFA,Homo,e1/r80,New option,37,37,56.678700361010826,58.48375451263538,-1.805054151624553
Nonlinear FFA,Homo,e2/r40,New option,5,10,58.48375451263538,58.48375451263538,0.0
Nonlinear FFA,Homo,e4/r20,New option,2,8,58.48375451263538,58.48375451263538,0.0
Nonlinear FFA,Homo,e8/r10,Existing baseline,2,16,58.48375451263538,58.48375451263538,0.0
Nonlinear FLoRA Cumulative,Homo,e1/r80,New option,4,4,56.317689530685925,59.56678700361011,-3.249097472924184
Nonlinear FLoRA Cumulative,Homo,e2/r40,New option,39,78,58.12274368231047,59.56678700361011,-1.4440433212996382
Nonlinear FLoRA Cumulative,Homo,e4/r20,New option,19,76,58.844765342960294,59.56678700361011,-0.7220216606498155
Nonlinear FLoRA Cumulative,Homo,e8/r10,Existing baseline,2,16,59.56678700361011,59.56678700361011,0.0
