Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Observed rounds,Score rows,Run status,Result source,Run dir,Complete run,Epoch/round option
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,80,80,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e1-r80,True,e1/r80
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,0,40,40,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e2-r40,True,e2/r40
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,20,0,20,20,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e4-r20,True,e4/r20
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e8-r10,True,e8/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,80,80,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,True,e1/r80
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,0,40,40,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r40,True,e2/r40
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,4,20,0,20,20,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e4-r20,True,e4/r20
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,True,e8/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,80,80,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e1-r80,True,e1/r80
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,40,0,40,40,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e2-r40,True,e2/r40
