Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,1,47.292418772563174,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,2,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,3,46.931407942238266,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,4,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,5,50.90252707581227,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,6,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,7,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,8,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,9,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,10,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,11,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,12,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,13,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,14,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,15,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,16,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,17,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,18,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,19,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,20,53.42960288808665,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,21,53.79061371841155,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,22,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,23,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,24,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,25,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,26,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,27,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,28,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,29,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,30,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,31,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,32,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,33,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,34,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,35,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,36,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,37,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,38,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,39,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,40,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,41,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,42,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,43,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,44,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,45,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,46,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,47,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,48,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,49,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,50,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,51,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,52,55.23465703971119,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,53,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,54,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,55,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,56,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,57,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,58,54.51263537906137,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,59,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,60,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,61,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,62,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,63,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,64,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,65,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,66,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,67,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,68,57.03971119133574,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,69,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,70,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,71,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,72,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,73,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,74,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,75,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,76,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,77,55.95667870036101,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,80,0,78,55.5956678700361,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r80/seed0/10/log.txt,80,True,score log,Complete
