Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,1,score log,Complete,47.292418772563174,0.0,1,0,80,1
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,2,score log,Complete,52.34657039711191,0.0,1,0,80,2
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,3,score log,Complete,46.931407942238266,0.0,1,0,80,3
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,4,score log,Complete,56.317689530685925,0.0,1,0,80,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,5,score log,Complete,50.90252707581227,0.0,1,0,80,5
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,6,score log,Complete,54.151624548736464,0.0,1,0,80,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,7,score log,Complete,51.624548736462096,0.0,1,0,80,7
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,8,score log,Complete,51.985559566786996,0.0,1,0,80,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,9,score log,Complete,52.34657039711191,0.0,1,0,80,9
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,score log,Complete,51.985559566786996,0.0,1,0,80,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,11,score log,Complete,51.985559566786996,0.0,1,0,80,11
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,12,score log,Complete,51.985559566786996,0.0,1,0,80,12
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,13,score log,Complete,52.34657039711191,0.0,1,0,80,13
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,14,score log,Complete,51.985559566786996,0.0,1,0,80,14
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,15,score log,Complete,51.985559566786996,0.0,1,0,80,15
