Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Observed rounds,Score rows,Run status,Result source,Run dir,Complete run,Epoch/round option
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e1-r10,True,e1/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e2-r10,True,e2/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e3-r10,True,e3/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e5-r10,True,e5/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-heter-e8-r10,True,e8/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,True,e1/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,True,e2/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e3-r10,True,e3/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e5-r10,True,e5/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e8-r10,True,e8/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e1-r10,True,e1/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e2-r10,True,e2/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,3,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e3-r10,True,e3/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,5,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e5-r10,True,e5/r10
nonlinear_flora,Nonlinear FLoRA Cumulative,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-nonlinear_flora-rte_stratified-roberta-base-heter-e8-r10,True,e8/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-homo-e1-r10,True,e1/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-homo-e2-r10,True,e2/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-homo-e3-r10,True,e3/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,5,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-homo-e5-r10,True,e5/r10
flora,Linear FLoRA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,8,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-flora-rte_stratified-roberta-base-homo-e8-r10,True,e8/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,1,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e1-r10,True,e1/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,2,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e2-r10,True,e2/r10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,homo,Homo,3,10,0,10,10,Complete,score log,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-homo-e3-r10,True,e3/r10
