Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Round,Accuracy,Run dir,Score path,Observed rounds,Complete run,Result source,Run status
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,1,47.292418772563174,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,2,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,3,46.931407942238266,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,4,56.317689530685925,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,5,50.90252707581227,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,6,54.151624548736464,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,7,51.624548736462096,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,8,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,9,52.34657039711191,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,0,10,51.985559566786996,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,1,53.068592057761734,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,2,52.707581227436826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,3,56.678700361010826,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,4,57.400722021660656,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,5,58.12274368231047,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,10,0,6,54.87364620938629,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10,epoch_round_tuning/tuning-ffa-rte_stratified-roberta-base-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete
