Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,1,score log,Complete,47.292418772563174,0.0,1,0,10,1
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,2,score log,Complete,52.34657039711191,0.0,1,0,10,2
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,3,score log,Complete,46.931407942238266,0.0,1,0,10,3
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,4,score log,Complete,56.317689530685925,0.0,1,0,10,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,5,score log,Complete,50.90252707581227,0.0,1,0,10,5
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,6,score log,Complete,54.151624548736464,0.0,1,0,10,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,7,score log,Complete,51.624548736462096,0.0,1,0,10,7
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,8,score log,Complete,51.985559566786996,0.0,1,0,10,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,9,score log,Complete,52.34657039711191,0.0,1,0,10,9
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,1,10,score log,Complete,51.985559566786996,0.0,1,0,10,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,1,score log,Complete,53.068592057761734,0.0,1,0,10,2
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,2,score log,Complete,52.707581227436826,0.0,1,0,10,4
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,3,score log,Complete,56.678700361010826,0.0,1,0,10,6
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,4,score log,Complete,57.400722021660656,0.0,1,0,10,8
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,5,score log,Complete,58.12274368231047,0.0,1,0,10,10
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,6,score log,Complete,54.87364620938629,0.0,1,0,10,12
ffa,Nonlinear FFA,rte_stratified,RTE stratified,roberta-base,RoBERTa-base,heter,Heter,2,7,score log,Complete,54.151624548736464,0.0,1,0,10,14
