Dataset family,Method,Setting,Local epochs,Compared rounds,Mean signed delta,Mean absolute deviation,Max absolute deviation,Final-round delta
Dolly,Linear FLoRA,Heter,1,10,-0.36290086644925346,0.9422273785466235,2.6877702439057565,1.733429025097685
Dolly,Linear FLoRA,Heter,2,10,-1.3633909653366398,1.4499919561788257,2.536286342543736,-1.9737641246579898
Dolly,Linear FLoRA,Heter,3,10,-1.0022930046486298,1.0777242050405786,1.9062668949586836,-1.3773699281901344
Dolly,Linear FLoRA,Heter,5,10,-0.36581205246058524,1.184907814311644,2.4734450546394946,-0.9364085287008521
Dolly,Nonlinear FFA,Heter,1,10,-0.3595563552943922,1.0466112508189582,2.6798418797770722,-0.9556376025026765
Dolly,Nonlinear FFA,Heter,2,10,-0.3519848337103433,0.9808217376079128,1.9745857925002994,-1.9745857925002994
Dolly,Nonlinear FFA,Heter,3,10,0.2414940611399757,1.3198023325753163,3.255284108779147,0.5395186218717143
Dolly,Nonlinear FFA,Heter,5,10,0.4152096349704372,1.0313501438231305,2.573906797454029,2.1150634183508252
Dolly,Nonlinear FLoRA,Heter,1,10,-0.4944976472384983,1.393462441156699,2.8067745775198816,-0.19155000048235848
Dolly,Nonlinear FLoRA,Heter,2,10,-1.6304701452422503,2.0123882785795604,3.6044664670529016,-1.0716446538338467
Dolly,Nonlinear FLoRA,Heter,3,10,-0.68025791795754,1.2801206950272277,2.9283301670956092,1.1196337291413663
Dolly,Nonlinear FLoRA,Heter,5,10,-0.5502836383259325,0.7742767737540828,3.26029759557575,0.3320091366010587
Dolly,Linear FLoRA,Homo,1,10,-0.2729486682624859,0.5818800439906049,1.8914188897518933,-1.8914188897518933
Dolly,Linear FLoRA,Homo,2,10,-0.8573508070722052,1.1103608544863992,2.1051828538003505,-1.3855674615719735
Dolly,Linear FLoRA,Homo,3,10,-0.4087027798162584,0.7177187662524641,2.181776669330727,-0.20220761391223974
Dolly,Linear FLoRA,Homo,5,10,0.23551061045582244,1.160769885858258,2.1598882014139598,0.4408926761232017
Dolly,Nonlinear FFA,Homo,1,10,-0.3650158307437586,0.7813610003010574,1.660219185567211,-1.1314383016355514
Dolly,Nonlinear FFA,Homo,2,10,0.07570877938118273,0.8453598323639582,2.3391751222592454,0.21873697022305905
Dolly,Nonlinear FFA,Homo,3,10,0.5111797859714493,0.7600365209840995,1.8155579848839203,1.8155579848839203
Dolly,Nonlinear FFA,Homo,5,10,0.13218634654448244,0.9651964005687628,2.008751417569272,-0.7329265885058476
Dolly,Nonlinear FLoRA,Homo,1,10,-0.036980139760186506,0.7190445668888383,1.4028330021702686,-0.40590621838567387
Dolly,Nonlinear FLoRA,Homo,2,10,-0.6657235267894901,1.1421733293943146,2.9746592060050254,-1.7678856400465293
Dolly,Nonlinear FLoRA,Homo,3,10,-0.5105460565921277,0.6818909054459951,1.7059801508662993,-1.3519481158089377
Dolly,Nonlinear FLoRA,Homo,5,10,0.08083462329904414,0.968297889257897,2.2765636373104385,2.2765636373104385
Wizard,Linear FLoRA,Heter,1,10,0.41489693042907516,1.1964603947082728,2.399234778816414,-0.6489167998431569
Wizard,Linear FLoRA,Heter,2,10,-0.8871893326154854,1.1045082531824355,2.589908471179818,0.18348957528656484
Wizard,Linear FLoRA,Heter,3,10,-1.05504720993099,1.5206375604376163,3.727751785266719,-2.511324454296755
Wizard,Linear FLoRA,Heter,5,10,-0.4443681994311476,1.1265544559032434,3.813514107498243,1.550970646506812
Wizard,Nonlinear FFA,Heter,1,10,-0.5149446197670571,0.7488006616736967,2.307221012508858,-2.307221012508858
Wizard,Nonlinear FFA,Heter,2,10,-0.229708111172177,0.542628026434205,1.2464738854976218,-0.3026684684219596
Wizard,Nonlinear FFA,Heter,3,10,0.21936010852066018,0.8106853168673439,1.5091288132075782,1.2763060921574407
Wizard,Nonlinear FFA,Heter,5,10,-0.6757069600960289,0.9282638285465676,1.6167630293239021,-1.1727636858020745
Wizard,Nonlinear FLoRA,Heter,1,10,-1.093883962709225,1.4452657107628029,2.2484749231445136,-1.8311373102230348
Wizard,Nonlinear FLoRA,Heter,2,10,0.13485690675028436,0.7276538628409803,1.891216276174731,-0.2498193947745051
Wizard,Nonlinear FLoRA,Heter,3,10,-0.8384235505353856,1.255667421243622,2.857740905521858,-1.1957894062612482
Wizard,Linear FLoRA,Homo,1,10,-0.3211727259238991,0.8090140621329006,1.6345053021068594,-0.2442960423079299
Wizard,Linear FLoRA,Homo,2,10,-1.6839583830561202,1.6839583830561202,4.303152587052331,-0.25977233193673754
Wizard,Linear FLoRA,Homo,3,10,0.3911604310954552,1.123476867103006,2.1414545346202516,-1.176374421822402
Wizard,Linear FLoRA,Homo,5,10,-1.1502120547558143,1.6008318485392885,3.9497139831870456,-2.5703454480798626
Wizard,Nonlinear FFA,Homo,1,10,-0.2413604397952671,0.3232754234992615,0.6973923166553497,-0.24397670916965097
Wizard,Nonlinear FFA,Homo,2,10,0.18948644607478365,0.9586668799373423,1.892335621663527,-0.674273312847081
Wizard,Nonlinear FFA,Homo,3,10,0.8120714728465203,0.8165870199444569,1.3660350841352624,-0.02064384302619615
Wizard,Nonlinear FFA,Homo,5,10,-0.1346705857696488,1.1551719202621296,2.8693379216416304,0.777206743006424
Wizard,Nonlinear FLoRA,Homo,1,10,-0.7799270366489466,0.8723308555030315,2.3183888702267055,0.08749719442099035
Wizard,Nonlinear FLoRA,Homo,2,10,0.7549209234375575,0.9830582477401328,2.4830579704974767,2.4830579704974767
Wizard,Nonlinear FLoRA,Homo,3,10,-0.5731715623163858,0.994889915462192,2.1387895059371758,-0.2448568883449198
