Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Run dir,Score path,Observed rounds,Complete run,Result source,Run status,Round,Accuracy
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,1,19.273111073727193
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,2,21.28930397783074
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,3,22.01067358273452
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,4,21.23329732480398
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,5,23.949153590490535
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,6,22.91282984438322
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,7,25.603691728597553
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,8,26.333334942185093
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,9,26.584934364371023
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e1-r10/seed0/10/log.txt,10,True,score log,Complete,10,27.235844016178547
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,1,21.056383084070806
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,2,23.65710080623618
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,3,26.80644668629974
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,4,26.51456588777064
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,5,26.86173746535535
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,6,26.738885297636557
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,7,27.520151217823813
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,8,27.230227440256233
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,9,28.381292508649324
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e2-r10/seed0/10/log.txt,10,True,score log,Complete,10,27.897415958980826
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,1,23.82513694558179
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,2,26.13990019014359
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,3,10,0,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10,epoch_round_tuning_dolly_dirichlet_r10/tuning-ffa-dolly-tinyllama-heter-e3-r10/seed0/10/log.txt,10,True,score log,Complete,3,25.9001561963584
