Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Round,Result source,Run status,Mean accuracy,Std accuracy,Seed count,Seeds,Max config rounds,Compute cost
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,1,score log,Complete,19.273111073727193,0.0,1,0,10,1
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,2,score log,Complete,21.28930397783074,0.0,1,0,10,2
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,3,score log,Complete,22.01067358273452,0.0,1,0,10,3
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,4,score log,Complete,21.23329732480398,0.0,1,0,10,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,5,score log,Complete,23.949153590490535,0.0,1,0,10,5
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,6,score log,Complete,22.91282984438322,0.0,1,0,10,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,7,score log,Complete,25.603691728597553,0.0,1,0,10,7
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,8,score log,Complete,26.333334942185093,0.0,1,0,10,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,9,score log,Complete,26.584934364371023,0.0,1,0,10,9
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,1,10,score log,Complete,27.235844016178547,0.0,1,0,10,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,1,score log,Complete,21.056383084070806,0.0,1,0,10,2
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,2,score log,Complete,23.65710080623618,0.0,1,0,10,4
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,3,score log,Complete,26.80644668629974,0.0,1,0,10,6
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,4,score log,Complete,26.51456588777064,0.0,1,0,10,8
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,5,score log,Complete,26.86173746535535,0.0,1,0,10,10
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,6,score log,Complete,26.738885297636557,0.0,1,0,10,12
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,7,score log,Complete,27.520151217823813,0.0,1,0,10,14
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,8,score log,Complete,27.230227440256233,0.0,1,0,10,16
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,9,score log,Complete,28.381292508649324,0.0,1,0,10,18
ffa,Nonlinear FFA,dolly,Dolly,tinyllama,TinyLlama,heter,Heter,2,10,score log,Complete,27.897415958980826,0.0,1,0,10,20
