Method,Dataset,Model,Setting,Selected epochs,Selected round,Selected accuracy,Best epochs,Best round,Best accuracy,FLoRA paper,FLoRA paper round,Selected delta vs paper,Best delta vs paper
Nonlinear FFA,Dolly,TinyLlama,Heter,3,4,28.523939458691792,5,9,29.04854503416771,18.45,3,10.073939458691793,10.59854503416771
Nonlinear FFA,Dolly,TinyLlama,Homo,2,3,29.901496671286427,5,7,30.873034360682343,30.8,3,-0.8985033287135735,0.07303436068234248
Nonlinear FFA,Dolly stratified,TinyLlama,Heter,3,5,29.619329742120637,3,5,29.619329742120637,18.45,3,11.169329742120638,11.169329742120638
Nonlinear FFA,Dolly stratified,TinyLlama,Homo,3,7,30.616932937943336,3,10,31.264767281439244,30.8,3,-0.183067062056665,0.4647672814392436
Nonlinear FFA,Wizard,TinyLlama,Heter,1,6,33.19234141611857,1,10,33.63478226383233,41.48,3,-8.287658583881424,-7.845217736167669
Nonlinear FFA,Wizard,TinyLlama,Homo,2,1,30.69317878695398,5,4,31.54860451750488,43.87,3,-13.176821213046018,-12.321395482495117
Linear FLoRA,Dolly,TinyLlama,Heter,2,1,29.38020421842083,2,5,29.95713368479402,18.45,3,10.93020421842083,11.50713368479402
Linear FLoRA,Dolly,TinyLlama,Homo,3,2,31.028687165879365,3,2,31.028687165879365,30.8,3,0.22868716587936433,0.22868716587936433
Linear FLoRA,Dolly stratified,TinyLlama,Heter,5,1,28.335098379205913,2,8,29.105461981714768,18.45,3,9.885098379205914,10.655461981714769
Linear FLoRA,Dolly stratified,TinyLlama,Homo,1,5,28.632243921249316,5,4,29.614578378920374,30.8,3,-2.167756078750685,-1.1854216210796267
Linear FLoRA,Wizard,TinyLlama,Heter,3,1,46.216901483508074,3,1,46.216901483508074,41.48,3,4.736901483508078,4.736901483508078
Linear FLoRA,Wizard,TinyLlama,Homo,1,1,45.100873212020446,1,1,45.100873212020446,43.87,3,1.2308732120204482,1.2308732120204482
Nonlinear FLoRA,Wizard,TinyLlama,Heter,1,1,35.94143401353366,1,1,35.94143401353366,41.48,3,-5.538565986466338,-5.538565986466338
Nonlinear FLoRA,Wizard,TinyLlama,Homo,1,1,36.86637139618295,1,1,36.86637139618295,43.87,3,-7.003628603817049,-7.003628603817049
