method	dataset	model	setting	epochs	rounds	seed	num_clients
flora	dolly_stratified	tinyllama	homo	3	50	0	3
flora	dolly_stratified	tinyllama	homo	3	50	0	10
flora	dolly_stratified	tinyllama	homo	3	50	0	20
flora	dolly_stratified	tinyllama	heter	3	50	0	3
flora	dolly_stratified	tinyllama	heter	3	50	0	10
flora	dolly_stratified	tinyllama	heter	3	50	0	20
ffa	dolly_stratified	tinyllama	homo	3	50	0	3
ffa	dolly_stratified	tinyllama	homo	3	50	0	10
ffa	dolly_stratified	tinyllama	homo	3	50	0	20
ffa	dolly_stratified	tinyllama	heter	3	50	0	3
ffa	dolly_stratified	tinyllama	heter	3	50	0	10
ffa	dolly_stratified	tinyllama	heter	3	50	0	20
flora	wiz_stratified	tinyllama	homo	3	50	0	3
flora	wiz_stratified	tinyllama	homo	3	50	0	10
flora	wiz_stratified	tinyllama	homo	3	50	0	20
flora	wiz_stratified	tinyllama	heter	3	50	0	3
flora	wiz_stratified	tinyllama	heter	3	50	0	10
flora	wiz_stratified	tinyllama	heter	3	50	0	20
ffa	wiz_stratified	tinyllama	homo	3	50	0	3
ffa	wiz_stratified	tinyllama	homo	3	50	0	10
ffa	wiz_stratified	tinyllama	homo	3	50	0	20
ffa	wiz_stratified	tinyllama	heter	3	50	0	3
ffa	wiz_stratified	tinyllama	heter	3	50	0	10
ffa	wiz_stratified	tinyllama	heter	3	50	0	20
