method	dataset	model	setting	epochs	rounds	seed
linear_flora_cumulative	dolly	tinyllama	homo	1	10	0
linear_flora_cumulative	dolly	tinyllama	homo	2	10	0
linear_flora_cumulative	dolly	tinyllama	homo	3	10	0
linear_flora_cumulative	dolly	tinyllama	homo	5	10	0
linear_flora_cumulative	dolly	tinyllama	heter	1	10	0
linear_flora_cumulative	dolly	tinyllama	heter	2	10	0
linear_flora_cumulative	dolly	tinyllama	heter	3	10	0
linear_flora_cumulative	dolly	tinyllama	heter	5	10	0
linear_flora_cumulative	wiz	tinyllama	homo	1	10	0
linear_flora_cumulative	wiz	tinyllama	homo	2	10	0
linear_flora_cumulative	wiz	tinyllama	homo	3	10	0
linear_flora_cumulative	wiz	tinyllama	homo	5	10	0
linear_flora_cumulative	wiz	tinyllama	heter	1	10	0
linear_flora_cumulative	wiz	tinyllama	heter	2	10	0
linear_flora_cumulative	wiz	tinyllama	heter	3	10	0
linear_flora_cumulative	wiz	tinyllama	heter	5	10	0
