method	dataset	model	setting	epochs	rounds	seed
ffa	dolly_stratified	tinyllama	heter	5	6	1
ffa	dolly_stratified	tinyllama	heter	5	6	2
ffa	dolly_stratified	tinyllama	heter	3	6	1
ffa	dolly_stratified	tinyllama	heter	3	6	2
ffa	dolly_stratified	tinyllama	homo	2	6	1
ffa	dolly_stratified	tinyllama	homo	2	6	2
ffa	dolly_stratified	tinyllama	homo	5	6	1
ffa	dolly_stratified	tinyllama	homo	5	6	2
flora	dolly_stratified	tinyllama	heter	2	6	1
flora	dolly_stratified	tinyllama	heter	2	6	2
flora	dolly_stratified	tinyllama	heter	5	6	1
flora	dolly_stratified	tinyllama	heter	5	6	2
flora	dolly_stratified	tinyllama	homo	2	6	1
flora	dolly_stratified	tinyllama	homo	2	6	2
flora	dolly_stratified	tinyllama	homo	1	6	1
flora	dolly_stratified	tinyllama	homo	1	6	2
ffa	wiz	tinyllama	heter	5	6	1
ffa	wiz	tinyllama	heter	5	6	2
ffa	wiz	tinyllama	heter	2	6	1
ffa	wiz	tinyllama	heter	2	6	2
ffa	wiz	tinyllama	homo	1	6	1
ffa	wiz	tinyllama	homo	1	6	2
ffa	wiz	tinyllama	homo	5	6	1
ffa	wiz	tinyllama	homo	5	6	2
flora	wiz	tinyllama	heter	3	6	1
flora	wiz	tinyllama	heter	3	6	2
flora	wiz	tinyllama	heter	5	6	1
flora	wiz	tinyllama	heter	5	6	2
flora	wiz	tinyllama	homo	1	6	1
flora	wiz	tinyllama	homo	1	6	2
flora	wiz	tinyllama	homo	2	6	1
flora	wiz	tinyllama	homo	2	6	2
