method	dataset	model	setting	epochs	rounds	seed
flora	wiz	tinyllama	homo	1	10	0
flora	wiz	tinyllama	homo	2	10	0
flora	wiz	tinyllama	homo	3	10	0
flora	wiz	tinyllama	homo	5	10	0
flora	wiz	tinyllama	heter	1	10	0
flora	wiz	tinyllama	heter	2	10	0
flora	wiz	tinyllama	heter	3	10	0
flora	wiz	tinyllama	heter	5	10	0
flora	dolly_stratified	tinyllama	homo	1	10	0
flora	dolly_stratified	tinyllama	homo	2	10	0
flora	dolly_stratified	tinyllama	homo	3	10	0
flora	dolly_stratified	tinyllama	homo	5	10	0
flora	dolly_stratified	tinyllama	heter	1	10	0
flora	dolly_stratified	tinyllama	heter	2	10	0
flora	dolly_stratified	tinyllama	heter	3	10	0
flora	dolly_stratified	tinyllama	heter	5	10	0
nonlinear_flora	wiz	tinyllama	homo	1	10	0
nonlinear_flora	wiz	tinyllama	homo	2	10	0
nonlinear_flora	wiz	tinyllama	homo	3	10	0
nonlinear_flora	wiz	tinyllama	homo	5	10	0
nonlinear_flora	wiz	tinyllama	heter	1	10	0
nonlinear_flora	wiz	tinyllama	heter	2	10	0
nonlinear_flora	wiz	tinyllama	heter	3	10	0
nonlinear_flora	wiz	tinyllama	heter	5	10	0
nonlinear_flora	dolly_stratified	tinyllama	homo	1	10	0
nonlinear_flora	dolly_stratified	tinyllama	homo	2	10	0
nonlinear_flora	dolly_stratified	tinyllama	homo	3	10	0
nonlinear_flora	dolly_stratified	tinyllama	homo	5	10	0
nonlinear_flora	dolly_stratified	tinyllama	heter	1	10	0
nonlinear_flora	dolly_stratified	tinyllama	heter	2	10	0
nonlinear_flora	dolly_stratified	tinyllama	heter	3	10	0
nonlinear_flora	dolly_stratified	tinyllama	heter	5	10	0
ffa	wiz	tinyllama	homo	1	10	0
ffa	wiz	tinyllama	homo	2	10	0
ffa	wiz	tinyllama	homo	3	10	0
ffa	wiz	tinyllama	homo	5	10	0
ffa	wiz	tinyllama	heter	1	10	0
ffa	wiz	tinyllama	heter	2	10	0
ffa	wiz	tinyllama	heter	3	10	0
ffa	wiz	tinyllama	heter	5	10	0
ffa	dolly_stratified	tinyllama	homo	1	10	0
ffa	dolly_stratified	tinyllama	homo	2	10	0
ffa	dolly_stratified	tinyllama	homo	3	10	0
ffa	dolly_stratified	tinyllama	homo	5	10	0
ffa	dolly_stratified	tinyllama	heter	1	10	0
ffa	dolly_stratified	tinyllama	heter	2	10	0
ffa	dolly_stratified	tinyllama	heter	3	10	0
ffa	dolly_stratified	tinyllama	heter	5	10	0
